fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231110 213627	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	23	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.124362175391999	0.649923987066497	316	49475	14669	132050193.403298	43
20231110 213920	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.217178329590757	0.601606815461963	402	37082	14877	130570965.017491	44
20231110 214326	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	394	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.205383877507366	0.125274451189268	969	22875	11771	136154544.227886	45
20231110 214807	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	465	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.284906744494448	0.149694400041719	928	35788	15072	141117369.315342	46
20231110 215253	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	712	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.212319774313307	0.0789313707490044	624	23126	12614	136245488.255872	47
20231110 220052	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	416	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.247657908351348	0.614645622768598	963	1326	16420	132453643.178411	48
20231110 220401	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0255211616097767	0.771906651747928	242	43910	14805	135626469.265367	49
20231110 220747	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.106001385209153	0.744650776075458	220	11337	12382	141711967.016492	50
20231110 221344	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	758	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.182699113437164	0.0710789716161196	603	1172	16127	125020605.197401	51
20231110 221944	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	99	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0234823773419146	0.487257593566889	851	19093	13430	136682433.783108	52
