fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231111 012956	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1268	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0288490953987161	0.760578350642156	581	9307	13791	143127467.766117	44
20231111 020112	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2609	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.020874059194602	0.833692672902338	677	5329	12709	144895350.824588	45
20231111 021438	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	966	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.047616382090992	0.918305506084518	685	7077	14104	144131770.114943	46
20231111 023745	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1229	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0200307787599177	0.936580071248997	517	867	15278	145258577.711144	47
20231111 025928	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1786	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0205612168515785	0.246102507886677	472	393	14531	141639101.949025	48
20231111 031727	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1844	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.020045054487089	0.772410444899647	197	195	14746	137791533.233383	49
20231111 032741	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	575	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0796079813612715	0.760974058722087	213	4665	11149	140977449.775112	50
20231111 034500	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1076	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0389288812963926	0.826500509578861	920	3028	14770	139755087.456272	51
20231111 040236	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1100	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0303266040101773	0.759139786751001	247	3279	14513	143103392.803598	52
20231111 042356	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1730	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0264833424306109	0.770906479040134	737	6779	13349	145480258.370815	53
20231111 044621	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2148	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.032827688224712	0.784766327576623	566	11617	14533	144280834.082959	54
20231111 050700	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	930	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0202963751698144	0.838026607016202	569	112	12872	149687244.377811	55
20231111 052609	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1503	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0200983661076426	0.838635322922355	275	335	12951	141586418.290855	56
20231111 055621	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2323	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.020586310824656	0.898947769778166	608	4270	12981	142781735.632184	57
20231111 060339	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.114083928600314	0.93478401910809	619	2752	14095	134534140.429785	58
20231111 062426	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1158	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0201204758387755	0.984518714971295	372	1255	13652	145014350.824588	59
20231111 065953	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2859	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0200635093829767	0.985321826650316	632	8234	12164	146378136.931534	60
20231111 071418	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	980	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0200463662168081	0.957323776351802	421	8217	14746	143260838.58071	61
20231111 073156	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	924	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0202504222261013	0.845540782453394	621	147	14153	145868410.294853	62
20231111 075502	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2015	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0213595427190161	0.999938463314934	342	8583	14157	146035052.973513	63
20231111 080012	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0211399682372739	0.991518306827569	453	16115	12031	133895023.988006	64
20231111 081200	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	784	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0681145478611303	0.995750599956251	623	6037	15094	142622239.88006	65
20231111 081708	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.115925583492337	0.251013237042192	256	7708	13505	138911116.941529	66
